scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.10, 0.9800, SOLVE_P, 0.90, 2, 1148, 1476683, 31, 3573
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 5, 665, 118298, 36, 2397
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 0, 30, 87, 30, 1269
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 0, 29, 57, 29, 808
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 12, 454, 14211, 44, 1367
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 103, 1900, 50981, 150, 3226
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 30, 30, 30, 740
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 49, 49, 49, 1240
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 35, 35, 35, 1049
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 29, 29, 29, 1075
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 45, 45, 45, 1160
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 29, 0, 29, 758
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 52, 0, 52, 1301
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 30, 0, 30, 1257
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 30, 0, 30, 1323
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 38, 0, 38, 1333
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 45, 0, 45, 1529
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 64, 0, 64, 1666
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 49, 0, 49, 2052
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 29, 0, 29, 1118
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 55, 0, 55, 1764
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 1, 5, 172, 29, 1084
dyngrid, 0.10, 0.9800, SOLVE_P, 0.90, 12, 4455, 3774449, 42, 8651
dyngrid, 0.12, 0.9760, SOLVE_P, 0.90, 0, 29, 110, 29, 1030
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 0, 29, 84, 29, 931
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 0, 30, 59, 30, 751
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 2, 111, 3265, 31, 902
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 34, 1416, 53636, 69, 2494
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 59, 59, 59, 1282
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 32, 32, 32, 881
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 71, 71, 71, 1363
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 29, 29, 29, 906
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 69, 69, 69, 1487
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 66, 0, 66, 1675
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 67, 0, 67, 1701
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 39, 0, 39, 1507
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 29, 0, 29, 1313
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 31, 0, 31, 1306
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 84, 0, 84, 1588
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 35, 0, 35, 1615
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 42, 0, 42, 1589
