scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 37, 0, 37, 1519
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 29, 0, 29, 1225
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 44, 0, 44, 952
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 29, 0, 29, 1265
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 29, 0, 29, 1494
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 59, 0, 59, 2492
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 40, 0, 40, 1735
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 57, 0, 57, 2407
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 0, 30, 465, 30, 1196
dyngrid, 0.12, 0.9760, SOLVE_P, 0.90, 41, 8776, 14201, 68, 7992
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 23, 2558, 3513, 52, 2813
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 3, 464, 670, 31, 1282
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 18, 501, 617, 50, 1051
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 21, 812, 971, 55, 1275
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 20, 851, 1001, 51, 1285
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 29, 29, 29, 489
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 44, 44, 44, 873
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 95, 95, 95, 1222
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 45, 45, 45, 903
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 31, 31, 31, 626
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 29, 0, 29, 550
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 45, 0, 45, 1321
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 39, 0, 39, 1644
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 45, 0, 45, 1813
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 44, 0, 44, 1811
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 30, 0, 30, 1689
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 55, 0, 55, 1372
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 133, 0, 133, 2219
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 56, 0, 56, 1947
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 29, 0, 29, 764
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 0, 29, 435, 29, 1133
dyngrid, 0.02, 0.9960, SOLVE_P, 0.90, 0, 29, 429, 29, 1196
dyngrid, 0.10, 0.9800, SOLVE_P, 0.90, 13, 5334, 9848, 41, 6364
dyngrid, 0.12, 0.9760, SOLVE_P, 0.90, 0, 30, 114, 30, 672
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 0, 30, 87, 30, 601
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 56, 6551, 9024, 88, 5219
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 90, 3747, 4343, 147, 2801
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 56, 482, 683, 90, 1683
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 46, 1925, 2239, 85, 2373
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 30, 30, 30, 843
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 29, 29, 29, 779
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 32, 32, 32, 934
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 200, 200, 200, 2422
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 78, 78, 78, 1376
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 67, 0, 67, 1913
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 40, 0, 40, 1581
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 29, 0, 29, 1044
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 57, 0, 57, 1942
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 46, 0, 46, 1542
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 61, 0, 61, 1622
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 31, 0, 31, 1314
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 51, 0, 51, 1865
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 54, 0, 54, 1861
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 31, 0, 31, 1181
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 0, 29, 435, 29, 1215
dyngrid, 0.12, 0.9760, SOLVE_P, 0.90, 0, 29, 110, 29, 679
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 80, 4439, 5991, 113, 3881
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 1, 208, 332, 30, 1320
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 11, 486, 581, 41, 1028
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 89, 3709, 4302, 149, 2709
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 77, 3194, 3697, 119, 2519
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 95, 95, 95, 831
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 54, 54, 54, 686
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 29, 29, 29, 615
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 29, 29, 29, 551
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 30, 30, 30, 883
