scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout
dyngrid, 0.62, 0.8760, SOLVE_M, 0.90, 0, 30, 0, 30, 578, ontime
dyngrid, 0.67, 0.8660, SOLVE_M, 0.90, 0, 80, 0, 80, 1767, ontime
dyngrid, 0.72, 0.8560, SOLVE_M, 0.90, 0, 42, 0, 42, 1027, ontime
dyngrid, 0.77, 0.8460, SOLVE_M, 0.90, 0, 98, 0, 98, 2323, ontime
dyngrid, 0.82, 0.8360, SOLVE_M, 0.90, 0, 83, 0, 83, 1877, ontime
dyngrid, 0.87, 0.8260, SOLVE_M, 0.90, 0, 81, 0, 81, 2165, ontime
dyngrid, 0.92, 0.8160, SOLVE_M, 0.90, 0, 39, 0, 39, 1072, ontime
dyngrid, 0.97, 0.8060, SOLVE_M, 0.90, 0, 84, 0, 84, 3049, ontime
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout
dyngrid, 0.00, 1.0000, SOLVE_M, 0.90, 2, 480, 2808, 24, 5892, ontime
dyngrid, 0.02, 0.9960, SOLVE_M, 0.90, 0, 24, 300, 24, 1405, ontime
dyngrid, 0.04, 0.9920, SOLVE_M, 0.90, 0, 1782, 7682, 1, 10147, timeout
dyngrid, 0.06, 0.9880, SOLVE_M, 0.90, 0, 4106, 11104, 15, 10118, timeout
dyngrid, 0.08, 0.9840, SOLVE_M, 0.90, 0, 4676, 10232, 11, 10137, timeout
dyngrid, 0.10, 0.9800, SOLVE_M, 0.90, 0, 5972, 11526, 19, 10119, timeout
dyngrid, 0.12, 0.9760, SOLVE_M, 0.90, 0, 8275, 13097, 59, 10118, timeout
dyngrid, 0.14, 0.9720, SOLVE_M, 0.90, 0, 1244, 1711, 34, 2302, ontime
dyngrid, 0.16, 0.9680, SOLVE_M, 0.90, 0, 11812, 16076, 128, 10121, timeout
dyngrid, 0.18, 0.9640, SOLVE_M, 0.90, 0, 3946, 4566, 149, 3607, ontime
dyngrid, 0.20, 0.9600, SOLVE_M, 0.90, 0, 2687, 3114, 100, 2818, ontime
dyngrid, 0.22, 0.9560, SOLVE_M, 0.90, 0, 4404, 5097, 164, 3868, ontime
dyngrid, 0.27, 0.9460, SOLVE_M, 0.90, 0, 134, 134, 134, 1648, ontime
dyngrid, 0.32, 0.9360, SOLVE_M, 0.90, 0, 34, 34, 34, 688, ontime
dyngrid, 0.37, 0.9260, SOLVE_M, 0.90, 0, 46, 46, 46, 1022, ontime
dyngrid, 0.42, 0.9160, SOLVE_M, 0.90, 0, 27, 27, 27, 726, ontime
dyngrid, 0.47, 0.9060, SOLVE_M, 0.90, 0, 102, 102, 102, 1954, ontime
dyngrid, 0.52, 0.8960, SOLVE_M, 0.90, 0, 66, 0, 66, 1739, ontime
dyngrid, 0.57, 0.8860, SOLVE_M, 0.90, 0, 57, 0, 57, 1274, ontime
dyngrid, 0.62, 0.8760, SOLVE_M, 0.90, 0, 54, 0, 54, 1494, ontime
dyngrid, 0.67, 0.8660, SOLVE_M, 0.90, 0, 67, 0, 67, 1787, ontime
dyngrid, 0.72, 0.8560, SOLVE_M, 0.90, 0, 22, 0, 22, 971, ontime
dyngrid, 0.77, 0.8460, SOLVE_M, 0.90, 0, 71, 0, 71, 1845, ontime
dyngrid, 0.82, 0.8360, SOLVE_M, 0.90, 0, 28, 0, 28, 1436, ontime
dyngrid, 0.87, 0.8260, SOLVE_M, 0.90, 0, 34, 0, 34, 1246, ontime
dyngrid, 0.92, 0.8160, SOLVE_M, 0.90, 0, 30, 0, 30, 1143, ontime
dyngrid, 0.97, 0.8060, SOLVE_M, 0.90, 0, 60, 0, 60, 1833, ontime
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout
dyngrid, 0.00, 1.0000, SOLVE_M, 0.90, 1, 283, 1939, 19, 3530, ontime
dyngrid, 0.02, 0.9960, SOLVE_M, 0.90, 1, 1078, 8687, 23, 9904, ontime
dyngrid, 0.04, 0.9920, SOLVE_M, 0.90, 0, 1979, 9487, 1, 10119, timeout
dyngrid, 0.06, 0.9880, SOLVE_M, 0.90, 0, 4172, 10604, 12, 10138, timeout
dyngrid, 0.08, 0.9840, SOLVE_M, 0.90, 0, 5761, 12156, 19, 10121, timeout
dyngrid, 0.10, 0.9800, SOLVE_M, 0.90, 0, 6927, 13116, 26, 10119, timeout
dyngrid, 0.12, 0.9760, SOLVE_M, 0.90, 1, 9641, 14959, 69, 9973, ontime
dyngrid, 0.14, 0.9720, SOLVE_M, 0.90, 0, 9357, 12654, 147, 7725, ontime
dyngrid, 0.16, 0.9680, SOLVE_M, 0.90, 0, 12564, 17076, 124, 10135, timeout
dyngrid, 0.18, 0.9640, SOLVE_M, 0.90, 0, 1556, 1844, 82, 1984, ontime
dyngrid, 0.20, 0.9600, SOLVE_M, 0.90, 0, 186, 247, 35, 1018, ontime
dyngrid, 0.22, 0.9560, SOLVE_M, 0.90, 0, 1618, 1904, 72, 2033, ontime
dyngrid, 0.27, 0.9460, SOLVE_M, 0.90, 0, 250, 250, 250, 1685, ontime
dyngrid, 0.32, 0.9360, SOLVE_M, 0.90, 0, 220, 220, 220, 1514, ontime
dyngrid, 0.37, 0.9260, SOLVE_M, 0.90, 0, 20, 20, 20, 456, ontime
dyngrid, 0.42, 0.9160, SOLVE_M, 0.90, 0, 245, 245, 245, 2931, ontime
dyngrid, 0.47, 0.9060, SOLVE_M, 0.90, 0, 25, 25, 25, 701, ontime
dyngrid, 0.52, 0.8960, SOLVE_M, 0.90, 0, 19, 0, 19, 623, ontime
dyngrid, 0.57, 0.8860, SOLVE_M, 0.90, 0, 75, 0, 75, 1171, ontime
dyngrid, 0.62, 0.8760, SOLVE_M, 0.90, 0, 73, 0, 73, 1418, ontime
dyngrid, 0.67, 0.8660, SOLVE_M, 0.90, 0, 32, 0, 32, 1100, ontime
dyngrid, 0.72, 0.8560, SOLVE_M, 0.90, 0, 34, 0, 34, 965, ontime
dyngrid, 0.77, 0.8460, SOLVE_M, 0.90, 0, 20, 0, 20, 688, ontime
dyngrid, 0.82, 0.8360, SOLVE_M, 0.90, 0, 57, 0, 57, 1694, ontime
dyngrid, 0.87, 0.8260, SOLVE_M, 0.90, 0, 22, 0, 22, 1025, ontime
dyngrid, 0.92, 0.8160, SOLVE_M, 0.90, 0, 24, 0, 24, 967, ontime
dyngrid, 0.97, 0.8060, SOLVE_M, 0.90, 0, 68, 0, 68, 2031, ontime
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout
dyngrid, 0.00, 1.0000, SOLVE_M, 0.90, 1, 268, 1375, 20, 2736, ontime
dyngrid, 0.02, 0.9960, SOLVE_M, 0.90, 5, 1688, 8542, 0, 10117, timeout
dyngrid, 0.04, 0.9920, SOLVE_M, 0.90, 0, 1968, 7769, 1, 10217, timeout
dyngrid, 0.06, 0.9880, SOLVE_M, 0.90, 0, 1624, 4650, 21, 6055, ontime
dyngrid, 0.08, 0.9840, SOLVE_M, 0.90, 0, 22, 117, 22, 678, ontime
dyngrid, 0.10, 0.9800, SOLVE_M, 0.90, 0, 6617, 12235, 22, 10116, timeout
dyngrid, 0.12, 0.9760, SOLVE_M, 0.90, 0, 7497, 12083, 36, 10114, timeout
dyngrid, 0.14, 0.9720, SOLVE_M, 0.90, 0, 886, 1236, 28, 2262, ontime
dyngrid, 0.16, 0.9680, SOLVE_M, 0.90, 0, 4073, 5401, 97, 5021, ontime
dyngrid, 0.18, 0.9640, SOLVE_M, 0.90, 0, 2420, 2913, 121, 2898, ontime
dyngrid, 0.20, 0.9600, SOLVE_M, 0.90, 0, 1069, 1309, 85, 1964, ontime
dyngrid, 0.22, 0.9560, SOLVE_M, 0.90, 0, 6463, 7488, 238, 5166, ontime
dyngrid, 0.27, 0.9460, SOLVE_M, 0.90, 0, 74, 74, 74, 1217, ontime
dyngrid, 0.32, 0.9360, SOLVE_M, 0.90, 0, 90, 90, 90, 1142, ontime
dyngrid, 0.37, 0.9260, SOLVE_M, 0.90, 0, 33, 33, 33, 796, ontime
dyngrid, 0.42, 0.9160, SOLVE_M, 0.90, 0, 69, 69, 69, 1223, ontime
dyngrid, 0.47, 0.9060, SOLVE_M, 0.90, 0, 46, 46, 46, 1130, ontime
dyngrid, 0.52, 0.8960, SOLVE_M, 0.90, 0, 60, 0, 60, 1216, ontime
dyngrid, 0.57, 0.8860, SOLVE_M, 0.90, 0, 19, 0, 19, 578, ontime
dyngrid, 0.62, 0.8760, SOLVE_M, 0.90, 0, 80, 0, 80, 1546, ontime
dyngrid, 0.67, 0.8660, SOLVE_M, 0.90, 0, 67, 0, 67, 1785, ontime
dyngrid, 0.72, 0.8560, SOLVE_M, 0.90, 0, 64, 0, 64, 1083, ontime
dyngrid, 0.77, 0.8460, SOLVE_M, 0.90, 0, 66, 0, 66, 1776, ontime
dyngrid, 0.82, 0.8360, SOLVE_M, 0.90, 0, 26, 0, 26, 917, ontime
dyngrid, 0.87, 0.8260, SOLVE_M, 0.90, 0, 21, 0, 21, 884, ontime
dyngrid, 0.92, 0.8160, SOLVE_M, 0.90, 0, 33, 0, 33, 898, ontime
dyngrid, 0.97, 0.8060, SOLVE_M, 0.90, 0, 24, 0, 24, 949, ontime
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout
dyngrid, 0.00, 1.0000, SOLVE_M, 0.90, 1, 228, 1282, 22, 2650, ontime
dyngrid, 0.02, 0.9960, SOLVE_M, 0.90, 1, 486, 3551, 21, 6001, ontime
dyngrid, 0.04, 0.9920, SOLVE_M, 0.90, 0, 1677, 6139, 1, 10138, timeout
dyngrid, 0.06, 0.9880, SOLVE_M, 0.90, 0, 1842, 5940, 4, 10147, timeout
dyngrid, 0.08, 0.9840, SOLVE_M, 0.90, 0, 2979, 7500, 7, 10148, timeout
dyngrid, 0.10, 0.9800, SOLVE_M, 0.90, 0, 7128, 12446, 27, 10117, timeout
dyngrid, 0.12, 0.9760, SOLVE_M, 0.90, 0, 8908, 14213, 46, 10112, timeout
dyngrid, 0.14, 0.9720, SOLVE_M, 0.90, 0, 7211, 9814, 96, 6936, ontime
dyngrid, 0.16, 0.9680, SOLVE_M, 0.90, 0, 7069, 9526, 91, 6695, ontime
dyngrid, 0.18, 0.9640, SOLVE_M, 0.90, 0, 3933, 4571, 144, 3666, ontime
dyngrid, 0.20, 0.9600, SOLVE_M, 0.90, 0, 1020, 1190, 50, 1741, ontime
dyngrid, 0.22, 0.9560, SOLVE_M, 0.90, 0, 19, 37, 19, 567, ontime
dyngrid, 0.27, 0.9460, SOLVE_M, 0.90, 0, 40, 40, 40, 928, ontime
dyngrid, 0.32, 0.9360, SOLVE_M, 0.90, 0, 60, 60, 60, 1090, ontime
dyngrid, 0.37, 0.9260, SOLVE_M, 0.90, 0, 165, 165, 165, 2129, ontime
dyngrid, 0.42, 0.9160, SOLVE_M, 0.90, 0, 50, 50, 50, 1083, ontime
dyngrid, 0.47, 0.9060, SOLVE_M, 0.90, 0, 29, 29, 29, 792, ontime
dyngrid, 0.52, 0.8960, SOLVE_M, 0.90, 0, 22, 0, 22, 576, ontime
dyngrid, 0.57, 0.8860, SOLVE_M, 0.90, 0, 91, 0, 91, 2139, ontime
dyngrid, 0.62, 0.8760, SOLVE_M, 0.90, 0, 62, 0, 62, 1343, ontime
dyngrid, 0.67, 0.8660, SOLVE_M, 0.90, 0, 49, 0, 49, 1414, ontime
dyngrid, 0.72, 0.8560, SOLVE_M, 0.90, 0, 51, 0, 51, 1308, ontime
dyngrid, 0.77, 0.8460, SOLVE_M, 0.90, 0, 19, 0, 19, 787, ontime
dyngrid, 0.82, 0.8360, SOLVE_M, 0.90, 0, 59, 0, 59, 1837, ontime
dyngrid, 0.87, 0.8260, SOLVE_M, 0.90, 0, 22, 0, 22, 928, ontime
dyngrid, 0.92, 0.8160, SOLVE_M, 0.90, 0, 65, 0, 65, 1649, ontime
dyngrid, 0.97, 0.8060, SOLVE_M, 0.90, 0, 19, 0, 19, 803, ontime
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout
dyngrid, 0.00, 1.0000, SOLVE_M, 0.90, 1, 610, 3288, 19, 5172, ontime
dyngrid, 0.02, 0.9960, SOLVE_M, 0.90, 1, 296, 2111, 22, 3751, ontime
dyngrid, 0.04, 0.9920, SOLVE_M, 0.90, 0, 1429, 7443, 9, 10124, timeout
dyngrid, 0.06, 0.9880, SOLVE_M, 0.90, 0, 3966, 11160, 5, 10138, timeout
dyngrid, 0.08, 0.9840, SOLVE_M, 0.90, 0, 5350, 12708, 17, 10118, timeout
