scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time
dyngrid, 0.15, 0.97, SOLVE_F, 0.90, 24, 2463, 359729, 71, 2525
dyngrid, 0.20, 0.96, SOLVE_F, 0.90, 0, 29, 57, 29, 498
dyngrid, 0.25, 0.95, SOLVE_F, 0.90, 0, 29, 57, 29, 669
dyngrid, 0.30, 0.94, SOLVE_F, 0.90, 0, 169, 169, 169, 801
dyngrid, 0.35, 0.93, SOLVE_F, 0.90, 0, 124, 124, 124, 813
dyngrid, 0.40, 0.92, SOLVE_F, 0.90, 0, 53, 53, 53, 499
dyngrid, 0.45, 0.91, SOLVE_F, 0.90, 0, 32, 32, 32, 468
dyngrid, 0.50, 0.90, SOLVE_F, 0.90, 0, 32, 32, 32, 447
dyngrid, 0.55, 0.89, SOLVE_F, 0.90, 0, 29, 0, 29, 416
dyngrid, 0.60, 0.88, SOLVE_F, 0.90, 0, 29, 0, 29, 413
dyngrid, 0.65, 0.87, SOLVE_F, 0.90, 0, 35, 0, 35, 419
dyngrid, 0.70, 0.86, SOLVE_F, 0.90, 0, 64, 0, 64, 514
dyngrid, 0.80, 0.84, SOLVE_F, 0.90, 0, 59, 0, 59, 489
dyngrid, 0.85, 0.83, SOLVE_F, 0.90, 0, 32, 0, 32, 442
dyngrid, 0.90, 0.82, SOLVE_F, 0.90, 0, 78, 0, 78, 566
dyngrid, 0.95, 0.81, SOLVE_F, 0.90, 0, 34, 0, 34, 407
dyngrid, 1.00, 0.80, SOLVE_F, 0.90, 0, 31, 0, 31, 495
dyngrid, 0.00, 1.00, SOLVE_F, 0.90, 1, 111, 163814, 33, 1380
dyngrid, 0.05, 0.99, SOLVE_F, 0.90, 12, 9493, 37567847, 43, 17750
dyngrid, 0.10, 0.98, SOLVE_F, 0.90, 0, 30, 140, 30, 668
dyngrid, 0.15, 0.97, SOLVE_F, 0.90, 0, 30, 87, 30, 587
dyngrid, 0.20, 0.96, SOLVE_F, 0.90, 0, 29, 57, 29, 519
dyngrid, 0.25, 0.95, SOLVE_F, 0.90, 0, 29, 57, 29, 545
dyngrid, 0.30, 0.94, SOLVE_F, 0.90, 0, 187, 187, 187, 882
dyngrid, 0.35, 0.93, SOLVE_F, 0.90, 0, 52, 52, 52, 524
dyngrid, 0.40, 0.92, SOLVE_F, 0.90, 0, 29, 29, 29, 441
dyngrid, 0.45, 0.91, SOLVE_F, 0.90, 0, 84, 84, 84, 629
dyngrid, 0.50, 0.90, SOLVE_F, 0.90, 0, 29, 29, 29, 443
dyngrid, 0.55, 0.89, SOLVE_F, 0.90, 0, 196, 0, 196, 789
dyngrid, 0.60, 0.88, SOLVE_F, 0.90, 0, 29, 0, 29, 422
dyngrid, 0.65, 0.87, SOLVE_F, 0.90, 0, 35, 0, 35, 434
dyngrid, 0.70, 0.86, SOLVE_F, 0.90, 0, 29, 0, 29, 424
dyngrid, 0.80, 0.84, SOLVE_F, 0.90, 0, 29, 0, 29, 435
dyngrid, 0.95, 0.81, SOLVE_F, 0.90, 0, 29, 0, 29, 432
dyngrid, 1.00, 0.80, SOLVE_F, 0.90, 0, 30, 0, 30, 419
dyngrid, 0.00, 1.00, SOLVE_F, 0.90, 0, 29, 435, 29, 1574
dyngrid, 0.05, 0.99, SOLVE_F, 0.90, 2, 4642, 49646483, 31, 15429
dyngrid, 0.10, 0.98, SOLVE_F, 0.90, 3, 351, 78085, 36, 1976
dyngrid, 0.15, 0.97, SOLVE_F, 0.90, 6, 705, 113326, 40, 1898
dyngrid, 0.00, 1.00, SOLVE_F, 0.90, 0, 29, 435, 29, 7739
dyngrid, 0.20, 0.96, SOLVE_F, 0.90, 9, 407, 14529, 47, 6888
dyngrid, 0.25, 0.95, SOLVE_F, 0.90, 0, 29, 57, 29, 4509
dyngrid, 0.30, 0.94, SOLVE_F, 0.90, 0, 29, 29, 29, 4360
dyngrid, 0.35, 0.93, SOLVE_F, 0.90, 0, 29, 29, 29, 4369
dyngrid, 0.40, 0.92, SOLVE_F, 0.90, 0, 29, 29, 29, 4380
dyngrid, 0.45, 0.91, SOLVE_F, 0.90, 0, 29, 29, 29, 4459
dyngrid, 0.50, 0.90, SOLVE_F, 0.90, 0, 49, 49, 49, 6539
dyngrid, 0.55, 0.89, SOLVE_F, 0.90, 0, 50, 0, 50, 6698
dyngrid, 0.60, 0.88, SOLVE_F, 0.90, 0, 30, 0, 30, 4560
dyngrid, 0.65, 0.87, SOLVE_F, 0.90, 0, 44, 0, 44, 6012
dyngrid, 0.70, 0.86, SOLVE_F, 0.90, 0, 42, 0, 42, 5819
dyngrid, 0.75, 0.85, SOLVE_F, 0.90, 0, 48, 0, 48, 6256
dyngrid, 0.80, 0.84, SOLVE_F, 0.90, 0, 36, 0, 36, 5245
dyngrid, 0.85, 0.83, SOLVE_F, 0.90, 0, 48, 0, 48, 6485
dyngrid, 0.90, 0.82, SOLVE_F, 0.90, 0, 29, 0, 29, 4412
