scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 36, 0, 72, 1689, ontime, 76.00
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 22, 0, 44, 853, ontime, 46.40
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 51, 0, 102, 1322, ontime, 105.20
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 1, 652, 6889, 42, 7205, ontime, 45.20
dyngrid, 0.02, 0.9960, SOLVE_P, 0.90, 1, 557, 4619, 38, 4530, ontime, 49.20
dyngrid, 0.04, 0.9920, SOLVE_P, 0.90, 0, 2506, 11604, 12, 10126, timeout, 12.00
dyngrid, 0.06, 0.9880, SOLVE_P, 0.90, 0, 5424, 14741, 14, 10123, timeout, 15.80
dyngrid, 0.08, 0.9840, SOLVE_P, 0.90, 0, 6657, 15064, 28, 10125, timeout, 30.40
dyngrid, 0.10, 0.9800, SOLVE_P, 0.90, 0, 8959, 16794, 50, 10124, timeout, 52.40
dyngrid, 0.12, 0.9760, SOLVE_P, 0.90, 0, 11117, 18187, 150, 10128, timeout, 160.20
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 0, 3246, 4509, 104, 3073, ontime, 109.60
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 0, 175, 277, 42, 935, ontime, 45.20
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 0, 4904, 5714, 384, 3306, ontime, 404.40
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 0, 63, 89, 44, 563, ontime, 46.40
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 0, 5537, 6423, 400, 3233, ontime, 426.40
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 34, 34, 68, 526, ontime, 70.40
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 54, 54, 108, 698, ontime, 110.40
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 47, 47, 94, 854, ontime, 97.20
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 39, 39, 78, 783, ontime, 78.00
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 33, 33, 66, 765, ontime, 66.00
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 36, 0, 72, 606, ontime, 74.40
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 53, 0, 106, 1048, ontime, 106.00
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 67, 0, 134, 1201, ontime, 135.60
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 31, 0, 62, 760, ontime, 62.00
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 23, 0, 46, 741, ontime, 47.60
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 37, 0, 74, 892, ontime, 75.60
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 42, 0, 84, 2244, ontime, 88.00
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 19, 0, 38, 770, ontime, 41.20
dyngrid, 0.92, 0.8160, SOLVE_P, 0.90, 0, 35, 0, 70, 2198, ontime, 71.60
dyngrid, 0.97, 0.8060, SOLVE_P, 0.90, 0, 31, 0, 62, 1415, ontime, 65.20
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, SOLVE_P, 0.90, 1, 910, 9312, 0, 10121, timeout, 0.00
dyngrid, 0.02, 0.9960, SOLVE_P, 0.90, 1, 233, 1286, 44, 1963, ontime, 49.60
dyngrid, 0.04, 0.9920, SOLVE_P, 0.90, 0, 3720, 14653, 4, 10125, timeout, 4.80
dyngrid, 0.08, 0.9840, SOLVE_P, 0.90, 1, 2972, 6495, 50, 7078, ontime, 54.80
dyngrid, 0.10, 0.9800, SOLVE_P, 0.90, 0, 7848, 15042, 66, 10151, timeout, 72.00
dyngrid, 0.12, 0.9760, SOLVE_P, 0.90, 0, 10583, 17502, 128, 10137, timeout, 138.00
dyngrid, 0.14, 0.9720, SOLVE_P, 0.90, 0, 12882, 17967, 360, 10133, timeout, 385.20
dyngrid, 0.16, 0.9680, SOLVE_P, 0.90, 0, 3149, 4318, 96, 3917, ontime, 107.40
dyngrid, 0.18, 0.9640, SOLVE_P, 0.90, 0, 2370, 2748, 186, 2507, ontime, 192.40
dyngrid, 0.20, 0.9600, SOLVE_P, 0.90, 0, 3926, 4618, 336, 3767, ontime, 358.80
dyngrid, 0.22, 0.9560, SOLVE_P, 0.90, 0, 1460, 1742, 182, 2074, ontime, 191.60
dyngrid, 0.27, 0.9460, SOLVE_P, 0.90, 0, 217, 217, 434, 2554, ontime, 435.60
dyngrid, 0.32, 0.9360, SOLVE_P, 0.90, 0, 20, 20, 40, 463, ontime, 44.00
dyngrid, 0.37, 0.9260, SOLVE_P, 0.90, 0, 66, 66, 132, 1311, ontime, 132.80
dyngrid, 0.42, 0.9160, SOLVE_P, 0.90, 0, 82, 82, 164, 1867, ontime, 164.80
dyngrid, 0.47, 0.9060, SOLVE_P, 0.90, 0, 82, 82, 164, 2122, ontime, 166.40
dyngrid, 0.52, 0.8960, SOLVE_P, 0.90, 0, 65, 0, 130, 1380, ontime, 130.00
dyngrid, 0.57, 0.8860, SOLVE_P, 0.90, 0, 22, 0, 44, 868, ontime, 46.40
dyngrid, 0.62, 0.8760, SOLVE_P, 0.90, 0, 78, 0, 156, 2600, ontime, 160.00
dyngrid, 0.67, 0.8660, SOLVE_P, 0.90, 0, 34, 0, 68, 1393, ontime, 70.40
dyngrid, 0.72, 0.8560, SOLVE_P, 0.90, 0, 107, 0, 214, 3137, ontime, 215.60
dyngrid, 0.77, 0.8460, SOLVE_P, 0.90, 0, 86, 0, 172, 3005, ontime, 172.80
dyngrid, 0.82, 0.8360, SOLVE_P, 0.90, 0, 27, 0, 54, 1294, ontime, 55.60
dyngrid, 0.87, 0.8260, SOLVE_P, 0.90, 0, 38, 0, 76, 832, ontime, 78.40
