scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, RANDOM, 0.90, 0, 379, 1278, 379, 2978, ontime, 416.29999999999967
dyngrid, 0.02, 0.9960, RANDOM, 0.90, 0, 195, 624, 195, 1999, ontime, 222.50000000000017
dyngrid, 0.04, 0.9920, RANDOM, 0.90, 0, 98, 414, 98, 1598, ontime, 106.90000000000006
dyngrid, 0.06, 0.9880, RANDOM, 0.90, 0, 23, 153, 23, 975, ontime, 25.099999999999998
dyngrid, 0.08, 0.9840, RANDOM, 0.90, 0, 199, 511, 199, 1960, ontime, 217.10000000000014
dyngrid, 0.10, 0.9800, RANDOM, 0.90, 0, 59, 181, 59, 1271, ontime, 62.39999999999999
dyngrid, 0.12, 0.9760, RANDOM, 0.90, 0, 332, 807, 332, 2967, ontime, 362.89999999999986
dyngrid, 0.14, 0.9720, RANDOM, 0.90, 0, 99, 236, 99, 1298, ontime, 107.90000000000005
dyngrid, 0.16, 0.9680, RANDOM, 0.90, 0, 49, 122, 49, 896, ontime, 52.69999999999999
dyngrid, 0.18, 0.9640, RANDOM, 0.90, 0, 229, 457, 229, 2238, ontime, 246.60000000000016
dyngrid, 0.20, 0.9600, RANDOM, 0.90, 0, 222, 443, 222, 2666, ontime, 238.10000000000014
dyngrid, 0.22, 0.9560, RANDOM, 0.90, 0, 137, 273, 137, 2390, ontime, 146.90000000000003
dyngrid, 0.27, 0.9460, RANDOM, 0.90, 0, 23, 23, 23, 447, ontime, 25.399999999999995
dyngrid, 0.32, 0.9360, RANDOM, 0.90, 0, 45, 45, 45, 784, ontime, 45.8
dyngrid, 0.37, 0.9260, RANDOM, 0.90, 0, 21, 21, 21, 492, ontime, 22.599999999999994
dyngrid, 0.42, 0.9160, RANDOM, 0.90, 0, 31, 31, 31, 632, ontime, 31.799999999999997
dyngrid, 0.47, 0.9060, RANDOM, 0.90, 0, 50, 50, 50, 1031, ontime, 51.199999999999996
dyngrid, 0.52, 0.8960, RANDOM, 0.90, 0, 59, 0, 59, 1911, ontime, 59.8
dyngrid, 0.57, 0.8860, RANDOM, 0.90, 0, 57, 0, 57, 1118, ontime, 57.8
dyngrid, 0.62, 0.8760, RANDOM, 0.90, 0, 56, 0, 56, 1253, ontime, 57.199999999999996
dyngrid, 0.67, 0.8660, RANDOM, 0.90, 0, 36, 0, 36, 1069, ontime, 37.199999999999996
dyngrid, 0.72, 0.8560, RANDOM, 0.90, 0, 37, 0, 37, 829, ontime, 38.599999999999994
dyngrid, 0.77, 0.8460, RANDOM, 0.90, 0, 21, 0, 21, 986, ontime, 21.0
dyngrid, 0.82, 0.8360, RANDOM, 0.90, 0, 44, 0, 44, 1527, ontime, 44.4
dyngrid, 0.87, 0.8260, RANDOM, 0.90, 0, 53, 0, 53, 1461, ontime, 53.8
dyngrid, 0.92, 0.8160, RANDOM, 0.90, 0, 38, 0, 38, 965, ontime, 38.4
dyngrid, 0.97, 0.8060, RANDOM, 0.90, 0, 20, 0, 20, 935, ontime, 21.2
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, RANDOM, 0.90, 0, 1312, 3233, 1312, 7021, ontime, 1437.300000000003
dyngrid, 0.02, 0.9960, RANDOM, 0.90, 0, 83, 312, 83, 1336, ontime, 92.70000000000003
dyngrid, 0.04, 0.9920, RANDOM, 0.90, 0, 503, 1225, 503, 3114, ontime, 545.3999999999992
dyngrid, 0.06, 0.9880, RANDOM, 0.90, 0, 110, 350, 110, 1558, ontime, 119.60000000000005
dyngrid, 0.08, 0.9840, RANDOM, 0.90, 0, 347, 888, 347, 2823, ontime, 385.1999999999998
dyngrid, 0.10, 0.9800, RANDOM, 0.90, 0, 111, 305, 111, 1498, ontime, 121.10000000000008
dyngrid, 0.12, 0.9760, RANDOM, 0.90, 0, 212, 527, 212, 2463, ontime, 230.50000000000014
dyngrid, 0.14, 0.9720, RANDOM, 0.90, 0, 386, 895, 386, 2880, ontime, 417.89999999999964
dyngrid, 0.16, 0.9680, RANDOM, 0.90, 0, 224, 509, 224, 2075, ontime, 246.50000000000014
dyngrid, 0.18, 0.9640, RANDOM, 0.90, 0, 69, 137, 69, 1247, ontime, 71.4
dyngrid, 0.20, 0.9600, RANDOM, 0.90, 0, 187, 363, 187, 1782, ontime, 209.60000000000014
dyngrid, 0.22, 0.9560, RANDOM, 0.90, 0, 118, 235, 118, 1516, ontime, 128.00000000000003
dyngrid, 0.27, 0.9460, RANDOM, 0.90, 0, 347, 347, 347, 2569, ontime, 347.79999999999995
dyngrid, 0.32, 0.9360, RANDOM, 0.90, 0, 40, 40, 40, 628, ontime, 40.4
dyngrid, 0.37, 0.9260, RANDOM, 0.90, 0, 47, 47, 47, 1003, ontime, 47.8
dyngrid, 0.42, 0.9160, RANDOM, 0.90, 0, 24, 24, 24, 762, ontime, 25.199999999999996
dyngrid, 0.47, 0.9060, RANDOM, 0.90, 0, 20, 20, 20, 664, ontime, 21.200000000000003
dyngrid, 0.52, 0.8960, RANDOM, 0.90, 0, 46, 0, 46, 1273, ontime, 47.199999999999996
dyngrid, 0.57, 0.8860, RANDOM, 0.90, 0, 43, 0, 43, 896, ontime, 55.09999999999998
dyngrid, 0.62, 0.8760, RANDOM, 0.90, 0, 76, 0, 76, 1422, ontime, 77.19999999999999
dyngrid, 0.67, 0.8660, RANDOM, 0.90, 0, 93, 0, 93, 1973, ontime, 93.80000000000001
dyngrid, 0.72, 0.8560, RANDOM, 0.90, 0, 56, 0, 56, 874, ontime, 56.4
dyngrid, 0.77, 0.8460, RANDOM, 0.90, 0, 56, 0, 56, 1864, ontime, 56.4
dyngrid, 0.82, 0.8360, RANDOM, 0.90, 0, 77, 0, 77, 2647, ontime, 78.6
dyngrid, 0.87, 0.8260, RANDOM, 0.90, 0, 22, 0, 22, 917, ontime, 22.4
dyngrid, 0.92, 0.8160, RANDOM, 0.90, 0, 51, 0, 51, 1564, ontime, 52.599999999999994
dyngrid, 0.97, 0.8060, RANDOM, 0.90, 0, 23, 0, 23, 1135, ontime, 23.799999999999997
scenario, pChange, gamma, recovery_strategy, required_certainty, build_plans, matrices, visited_states, actions, time, timeout, cost
dyngrid, 0.00, 1.0000, RANDOM, 0.90, 0, 97, 551, 97, 1585, ontime, 107.50000000000003
dyngrid, 0.02, 0.9960, RANDOM, 0.90, 0, 303, 858, 303, 2448, ontime, 329.29999999999984
dyngrid, 0.04, 0.9920, RANDOM, 0.90, 0, 36, 195, 36, 1046, ontime, 39.29999999999999
dyngrid, 0.06, 0.9880, RANDOM, 0.90, 0, 233, 627, 233, 2162, ontime, 258.20000000000016
dyngrid, 0.08, 0.9840, RANDOM, 0.90, 0, 59, 195, 59, 1049, ontime, 65.0
dyngrid, 0.10, 0.9800, RANDOM, 0.90, 0, 185, 450, 185, 1844, ontime, 198.4000000000001
dyngrid, 0.12, 0.9760, RANDOM, 0.90, 0, 236, 574, 236, 2220, ontime, 254.20000000000013
dyngrid, 0.14, 0.9720, RANDOM, 0.90, 0, 185, 436, 185, 1849, ontime, 199.5000000000001
dyngrid, 0.16, 0.9680, RANDOM, 0.90, 0, 68, 165, 68, 1333, ontime, 74.6
dyngrid, 0.18, 0.9640, RANDOM, 0.90, 0, 25, 49, 25, 644, ontime, 26.599999999999998
dyngrid, 0.20, 0.9600, RANDOM, 0.90, 0, 98, 195, 98, 1674, ontime, 102.1
dyngrid, 0.22, 0.9560, RANDOM, 0.90, 0, 117, 233, 117, 1808, ontime, 124.10000000000004
dyngrid, 0.27, 0.9460, RANDOM, 0.90, 0, 96, 96, 96, 1208, ontime, 96.4
dyngrid, 0.32, 0.9360, RANDOM, 0.90, 0, 56, 56, 56, 1092, ontime, 57.99999999999999
dyngrid, 0.37, 0.9260, RANDOM, 0.90, 0, 95, 95, 95, 1774, ontime, 95.0
dyngrid, 0.42, 0.9160, RANDOM, 0.90, 0, 46, 46, 46, 798, ontime, 46.4
dyngrid, 0.47, 0.9060, RANDOM, 0.90, 0, 88, 88, 88, 999, ontime, 89.2
dyngrid, 0.52, 0.8960, RANDOM, 0.90, 0, 46, 0, 46, 751, ontime, 47.199999999999996
dyngrid, 0.57, 0.8860, RANDOM, 0.90, 0, 32, 0, 32, 752, ontime, 32.4
dyngrid, 0.62, 0.8760, RANDOM, 0.90, 0, 6, 0, 6, 10130, timeout, 6.0
dyngrid, 0.67, 0.8660, RANDOM, 0.90, 0, 44, 0, 44, 1151, ontime, 45.199999999999996
dyngrid, 0.72, 0.8560, RANDOM, 0.90, 0, 42, 0, 42, 1276, ontime, 43.199999999999996
dyngrid, 0.77, 0.8460, RANDOM, 0.90, 0, 42, 0, 42, 1784, ontime, 43.99999999999999
dyngrid, 0.82, 0.8360, RANDOM, 0.90, 0, 29, 0, 29, 1415, ontime, 30.599999999999994
dyngrid, 0.87, 0.8260, RANDOM, 0.90, 0, 27, 0, 27, 1098, ontime, 27.0
dyngrid, 0.92, 0.8160, RANDOM, 0.90, 0, 26, 0, 26, 918, ontime, 27.999999999999996
dyngrid, 0.97, 0.8060, RANDOM, 0.90, 0, 23, 0, 23, 1177, ontime, 24.6
